epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3856,0.35188,1.87541,0.98731,0.44296,0.92391,0.64267,0.64267,0.25077,1.23724,0.53498,0.000544553,0.000544553,0.000544553
2,30.5061,0.23134,1.17793,0.90383,0.26865,0.63921,0.34684,0.28082,0.42252,5.27292,0.72374,0.00107844,0.00107844,0.00107844
3,44.6939,0.26069,1.05807,0.90764,0.41356,0.76535,0.60794,0.459,0.42565,1.62573,0.71733,0.00159031,0.00159031,0.00159031
4,58.8762,0.22851,0.955,0.89848,0.73462,0.71112,0.72783,0.7228,0.30142,0.89637,0.5417,0.00156798,0.00156798,0.00156798
5,72.8034,0.2216,0.88629,0.89414,0.56838,0.70652,0.65319,0.65001,0.25534,1.59047,0.52106,0.00153497,0.00153497,0.00153497
6,86.8023,0.22033,0.84084,0.87963,0.65646,0.77299,0.79282,0.77902,0.28465,0.89867,0.58476,0.00150197,0.00150197,0.00150197
7,100.913,0.20783,0.8126,0.88797,0.81787,0.83027,0.90324,0.90102,0.22886,0.66324,0.53821,0.00146896,0.00146896,0.00146896
8,114.967,0.1877,0.79254,0.87703,0.77386,0.87082,0.92394,0.92092,0.22333,0.69694,0.52692,0.00143595,0.00143595,0.00143595
9,129.043,0.17289,0.75853,0.87303,0.74318,0.84696,0.86034,0.83252,0.22515,0.81972,0.55988,0.00140295,0.00140295,0.00140295
10,143.039,0.16001,0.72793,0.86607,0.81251,0.6613,0.80923,0.80595,0.15448,0.89324,0.48951,0.00136994,0.00136994,0.00136994
11,157.056,0.16755,0.70522,0.87924,0.88708,0.75259,0.87224,0.872,0.19649,0.87049,0.51872,0.00133693,0.00133693,0.00133693
12,171.04,0.16234,0.69754,0.86643,0.82231,0.79355,0.89246,0.89246,0.19177,0.7003,0.49651,0.00130393,0.00130393,0.00130393
13,185.081,0.15274,0.66809,0.87152,0.76316,0.85844,0.93879,0.92875,0.14679,1.0984,0.47997,0.00127092,0.00127092,0.00127092
14,198.992,0.14992,0.66373,0.8723,0.83242,0.69544,0.84858,0.84858,0.3519,0.86427,0.64522,0.00123791,0.00123791,0.00123791
15,213.197,0.13754,0.61333,0.86417,0.84875,0.86359,0.95505,0.95505,0.14963,0.74266,0.4855,0.00120491,0.00120491,0.00120491
16,226.991,0.13354,0.62075,0.85773,0.8532,0.80751,0.90174,0.88448,0.14216,0.65079,0.48346,0.0011719,0.0011719,0.0011719
17,241.081,0.13538,0.61811,0.86772,0.84072,0.85811,0.92282,0.91929,0.15753,0.64296,0.47025,0.00113889,0.00113889,0.00113889
18,255.123,0.13425,0.58234,0.86464,0.84576,0.9143,0.94804,0.94629,0.16042,0.52281,0.47145,0.00110589,0.00110589,0.00110589
19,269.03,0.13842,0.60475,0.87507,0.92544,0.92552,0.97148,0.97148,0.15566,0.35229,0.46525,0.00107288,0.00107288,0.00107288
20,283.175,0.1336,0.58649,0.86296,0.86788,0.84889,0.94443,0.94443,0.34789,0.77337,0.65301,0.00103987,0.00103987,0.00103987
21,297.474,0.12757,0.54898,0.864,0.92443,0.91798,0.98325,0.98325,0.18681,0.37825,0.48903,0.00100687,0.00100687,0.00100687
